year,month,day_of_week,accident_severity,number_of_vehicles_involved,vehicle_type_involved,number_of_casualties,number_of_fatalities,weather_conditions,road_type,road_condition,lighting_conditions,traffic_control_presence,speed_limit_(km/h),driver_age,driver_gender,driver_license_status,alcohol_involvement,hour
2020,june,sunday,serious,5,truck,1,0,foggy,national highway,dry,dark,police checkpost,54,47,female,expired,yes,21
2018,january,tuesday,fatal,2,truck,8,0,stormy,national highway,under construction,dawn,signals,34,61,female,valid,yes,7
2021,june,saturday,fatal,1,pedestrian,5,2,foggy,urban road,dry,dawn,police checkpost,105,30,male,expired,yes,7
2021,september,sunday,serious,4,car,5,5,stormy,state highway,damaged,daylight,signals,73,58,female,valid,no,23
2020,december,tuesday,minor,4,bus,8,1,stormy,state highway,under construction,daylight,,115,44,female,expired,no,6
2018,june,tuesday,minor,5,pedestrian,1,1,stormy,national highway,under construction,dawn,police checkpost,40,57,female,,yes,9
2018,november,thursday,minor,4,two-wheeler,0,2,hazy,urban road,dry,dawn,,107,57,female,expired,no,13
2022,june,tuesday,fatal,4,auto-rickshaw,6,3,rainy,urban road,damaged,dusk,signals,114,48,female,valid,yes,17
2018,april,monday,minor,5,pedestrian,8,5,hazy,village road,under construction,daylight,,36,68,female,valid,yes,7
2020,april,sunday,serious,4,two-wheeler,1,2,rainy,state highway,wet,dusk,signs,57,50,female,valid,no,6
2018,june,monday,fatal,3,cycle,1,3,hazy,state highway,under construction,daylight,signals,98,40,female,valid,yes,7
2020,august,sunday,serious,1,cycle,6,3,clear,village road,wet,dawn,police checkpost,41,65,male,valid,no,2
2023,november,thursday,serious,4,auto-rickshaw,7,1,rainy,national highway,under construction,daylight,signals,86,61,male,,yes,19
2022,january,sunday,minor,3,auto-rickshaw,4,0,stormy,urban road,dry,dawn,signals,64,27,female,valid,yes,22
2023,january,thursday,fatal,3,cycle,8,1,hazy,village road,damaged,dark,signs,113,68,male,expired,yes,9
2020,september,thursday,serious,5,bus,0,4,hazy,urban road,wet,dawn,police checkpost,118,52,female,valid,yes,10
2021,january,sunday,minor,5,two-wheeler,8,4,stormy,state highway,wet,daylight,signs,71,39,male,valid,no,7
2018,november,friday,fatal,4,pedestrian,9,4,hazy,urban road,damaged,dusk,signals,38,43,male,valid,no,7
2018,october,saturday,fatal,3,bus,5,0,clear,state highway,dry,daylight,,31,30,female,valid,no,9
2022,april,wednesday,fatal,2,car,9,1,foggy,state highway,under construction,dusk,police checkpost,95,65,female,expired,no,1
2020,july,friday,minor,3,cycle,9,2,rainy,urban road,wet,dark,signals,41,70,male,valid,yes,1
2022,february,thursday,minor,1,two-wheeler,5,0,rainy,state highway,damaged,dawn,signs,103,44,female,valid,no,6
2021,june,wednesday,serious,4,pedestrian,4,4,foggy,state highway,damaged,dawn,signals,105,24,male,,yes,10
2019,december,wednesday,minor,3,truck,1,2,clear,state highway,dry,daylight,,95,70,male,valid,no,12
2022,may,tuesday,minor,1,two-wheeler,8,1,hazy,national highway,wet,daylight,police checkpost,74,59,male,expired,yes,14
2023,december,saturday,fatal,4,pedestrian,5,1,hazy,national highway,under construction,dark,signals,41,56,female,expired,no,5
2020,november,sunday,minor,1,car,5,2,hazy,urban road,under construction,dark,,86,35,female,valid,no,5
2022,february,sunday,fatal,1,bus,0,0,hazy,state highway,wet,dark,signs,37,59,female,,no,12
2021,december,wednesday,serious,5,two-wheeler,8,0,foggy,village road,damaged,dusk,,103,31,female,expired,yes,5
2020,january,thursday,serious,5,car,8,1,hazy,state highway,dry,daylight,signs,48,68,female,valid,yes,13
2018,january,monday,serious,4,two-wheeler,9,3,clear,national highway,damaged,dusk,,114,26,male,expired,yes,16
2022,october,tuesday,fatal,5,bus,0,1,rainy,state highway,under construction,dark,signals,43,41,female,expired,no,21
2019,december,monday,serious,3,two-wheeler,8,4,foggy,village road,wet,daylight,signs,82,62,male,,yes,3
2023,october,tuesday,minor,2,auto-rickshaw,7,1,stormy,village road,dry,dark,signs,32,19,female,expired,no,21
2018,september,sunday,minor,3,cycle,1,5,stormy,village road,dry,dusk,signs,109,36,male,expired,yes,19
2021,february,wednesday,serious,2,two-wheeler,1,1,stormy,national highway,under construction,dawn,,48,60,female,valid,yes,14
2021,june,tuesday,fatal,2,cycle,2,3,foggy,village road,dry,dusk,police checkpost,41,63,female,valid,no,22
2018,december,tuesday,fatal,4,bus,10,1,rainy,state highway,damaged,dawn,signals,100,47,male,valid,no,5
2019,february,monday,minor,5,pedestrian,2,5,foggy,village road,under construction,dusk,,99,57,female,,yes,21
2022,march,friday,fatal,1,bus,5,1,foggy,urban road,damaged,daylight,police checkpost,72,18,female,expired,no,19
2021,october,saturday,fatal,4,cycle,9,0,clear,village road,under construction,dawn,signs,65,51,female,valid,no,3
2019,april,sunday,minor,1,auto-rickshaw,4,1,foggy,urban road,dry,dusk,police checkpost,110,62,male,expired,no,17
2018,july,wednesday,fatal,1,car,9,3,rainy,state highway,under construction,dawn,signs,40,31,male,valid,no,0
2020,may,sunday,fatal,2,two-wheeler,2,5,stormy,national highway,damaged,dusk,signals,59,52,female,,no,3
2018,february,tuesday,fatal,1,bus,5,0,rainy,urban road,under construction,dawn,police checkpost,75,18,male,expired,yes,17
2020,march,monday,minor,2,auto-rickshaw,6,2,foggy,urban road,damaged,dark,signals,81,63,female,,no,18
2018,april,thursday,fatal,4,auto-rickshaw,1,5,rainy,village road,wet,dark,police checkpost,78,34,male,,no,12
2019,june,tuesday,fatal,2,pedestrian,2,0,foggy,village road,wet,dark,police checkpost,68,37,male,valid,no,22
2021,march,monday,serious,5,auto-rickshaw,5,5,rainy,state highway,dry,dawn,signals,48,43,female,valid,yes,23
2020,december,wednesday,minor,4,two-wheeler,3,5,rainy,village road,damaged,dawn,,44,18,female,expired,yes,5
2020,january,saturday,minor,2,truck,7,2,hazy,village road,damaged,daylight,,116,64,female,,no,3
2023,august,tuesday,minor,5,auto-rickshaw,1,3,hazy,village road,damaged,dusk,signs,77,46,male,,yes,16
2019,january,friday,serious,3,two-wheeler,4,4,stormy,urban road,damaged,daylight,signs,54,19,male,valid,yes,8
2018,june,saturday,serious,4,auto-rickshaw,0,5,foggy,national highway,dry,dark,police checkpost,57,63,female,,no,10
2018,may,saturday,serious,1,two-wheeler,2,0,hazy,village road,wet,daylight,,38,18,male,,no,3
2021,december,friday,fatal,3,car,3,0,foggy,urban road,dry,dark,signals,106,61,female,valid,yes,17
2020,september,thursday,fatal,1,bus,7,1,hazy,urban road,wet,dawn,signs,81,48,female,valid,yes,7
2022,july,wednesday,serious,1,truck,0,5,hazy,urban road,wet,daylight,,50,30,male,expired,no,20
2018,april,monday,minor,2,two-wheeler,3,3,stormy,state highway,damaged,dawn,signals,85,47,female,expired,no,16
2019,april,saturday,minor,4,auto-rickshaw,8,0,hazy,state highway,damaged,dark,,99,25,male,expired,yes,13
2019,october,saturday,minor,4,car,5,0,rainy,state highway,under construction,daylight,signals,33,63,male,expired,yes,14
2021,december,monday,fatal,5,truck,2,2,clear,urban road,under construction,daylight,signs,85,28,female,expired,yes,2
2018,december,thursday,minor,2,car,7,3,hazy,state highway,dry,dark,signals,43,44,female,expired,no,12
2022,june,wednesday,minor,1,pedestrian,9,1,rainy,village road,dry,daylight,police checkpost,82,67,male,,yes,5
2021,october,thursday,minor,1,pedestrian,5,5,stormy,national highway,dry,daylight,signs,93,47,female,valid,no,6
2022,january,monday,fatal,2,cycle,10,3,hazy,urban road,dry,daylight,,64,66,female,,no,17
2019,december,monday,fatal,3,truck,3,2,hazy,urban road,under construction,dusk,signs,46,64,female,,yes,12
2021,april,tuesday,minor,4,auto-rickshaw,9,2,hazy,urban road,wet,daylight,,78,21,male,valid,no,6
2022,june,thursday,serious,3,bus,6,2,clear,national highway,wet,dawn,signs,60,59,female,valid,no,2
2020,april,wednesday,fatal,2,bus,2,5,foggy,state highway,dry,daylight,signals,58,69,male,valid,yes,3
2020,december,wednesday,serious,2,auto-rickshaw,8,4,foggy,village road,wet,dawn,signals,75,27,female,valid,yes,20
2022,january,wednesday,minor,3,bus,9,2,stormy,state highway,dry,daylight,police checkpost,42,60,male,expired,no,20
2019,june,sunday,serious,5,truck,4,4,rainy,national highway,damaged,daylight,police checkpost,76,46,female,expired,no,23
2019,september,wednesday,fatal,4,cycle,2,0,rainy,village road,wet,dawn,police checkpost,113,38,male,expired,yes,8
2020,july,monday,serious,5,pedestrian,7,5,foggy,village road,under construction,dawn,signals,69,56,female,expired,yes,12
2021,may,wednesday,fatal,4,bus,5,1,clear,national highway,wet,dusk,signals,30,62,male,valid,no,22
2022,august,tuesday,minor,2,pedestrian,4,4,clear,state highway,under construction,dark,signs,107,24,female,valid,no,4
2020,september,tuesday,minor,1,pedestrian,2,0,stormy,urban road,under construction,daylight,signals,60,52,female,expired,no,16
2020,september,monday,minor,1,truck,0,1,foggy,urban road,wet,daylight,,119,39,female,expired,yes,21
2023,september,tuesday,fatal,5,pedestrian,5,0,foggy,village road,wet,daylight,,43,35,female,,yes,9
2020,june,tuesday,minor,3,cycle,5,5,hazy,village road,under construction,dawn,police checkpost,108,38,female,expired,no,6
2021,june,wednesday,serious,2,bus,10,4,hazy,village road,under construction,dusk,police checkpost,38,25,male,,no,17
2022,december,thursday,minor,3,auto-rickshaw,8,0,rainy,village road,damaged,daylight,,87,18,male,expired,yes,22
2020,february,saturday,serious,1,truck,7,2,foggy,village road,damaged,dusk,police checkpost,58,53,male,expired,no,20
2018,march,wednesday,fatal,2,auto-rickshaw,10,1,stormy,urban road,damaged,dusk,signals,112,31,female,expired,no,2
2019,december,wednesday,serious,2,cycle,0,3,stormy,state highway,dry,dusk,signs,92,30,male,,no,14
2020,august,monday,minor,3,truck,2,1,stormy,state highway,damaged,daylight,signs,107,44,female,,yes,7
2020,february,monday,serious,1,cycle,10,2,clear,state highway,dry,dark,signs,102,68,male,valid,no,1
2022,may,thursday,minor,1,two-wheeler,7,1,stormy,national highway,damaged,dark,signs,66,33,female,valid,yes,11
2022,february,tuesday,minor,5,truck,10,4,clear,national highway,damaged,dawn,police checkpost,87,43,female,valid,no,6
2020,december,friday,fatal,1,car,6,3,stormy,state highway,dry,dark,,56,62,female,,yes,1
2022,march,friday,serious,5,auto-rickshaw,9,4,stormy,urban road,damaged,dawn,,120,21,female,valid,yes,22
2023,october,sunday,serious,5,pedestrian,1,4,clear,urban road,under construction,dawn,signs,64,35,male,,yes,5
2022,september,tuesday,minor,3,cycle,3,5,rainy,village road,damaged,dark,signals,59,68,male,valid,no,11
2022,april,saturday,serious,3,truck,4,1,rainy,village road,damaged,dawn,signs,59,53,female,,yes,7
2022,april,sunday,serious,4,bus,1,4,hazy,urban road,under construction,dark,signs,34,43,male,expired,yes,7
2021,july,thursday,serious,4,two-wheeler,6,2,foggy,urban road,wet,dawn,police checkpost,88,49,male,expired,no,15
2019,march,wednesday,fatal,4,truck,7,2,hazy,urban road,under construction,dawn,signs,106,19,female,expired,no,3
2020,january,thursday,minor,5,pedestrian,8,2,clear,urban road,under construction,dusk,signals,115,56,female,,yes,13
2023,may,wednesday,serious,1,two-wheeler,5,3,rainy,urban road,dry,dark,signs,89,35,female,expired,yes,17
2021,december,sunday,serious,5,truck,2,4,stormy,urban road,wet,daylight,signals,69,55,male,,no,19
2023,october,thursday,minor,3,bus,2,1,stormy,national highway,damaged,daylight,police checkpost,119,35,female,valid,no,5
2023,august,sunday,serious,4,truck,1,0,stormy,village road,damaged,dark,signals,102,27,female,valid,yes,8
2020,july,wednesday,fatal,1,cycle,7,0,hazy,national highway,under construction,dawn,police checkpost,101,70,female,expired,no,10
2018,april,saturday,fatal,1,truck,8,1,stormy,village road,wet,dusk,signals,80,47,male,valid,yes,14
2022,october,monday,serious,2,bus,2,2,hazy,national highway,damaged,dark,signs,94,56,female,expired,no,1
2020,october,sunday,fatal,1,pedestrian,8,4,stormy,state highway,damaged,daylight,,55,28,female,expired,yes,14
2020,april,tuesday,minor,5,car,7,4,foggy,national highway,under construction,dawn,signals,73,38,female,expired,no,12
2021,october,sunday,serious,1,two-wheeler,7,2,stormy,village road,under construction,dark,signs,67,58,male,valid,yes,2
2019,july,friday,minor,1,truck,10,1,rainy,urban road,wet,dark,police checkpost,72,49,female,valid,yes,21
2021,march,monday,fatal,2,cycle,10,0,foggy,urban road,damaged,dusk,police checkpost,114,39,male,valid,yes,15
2018,september,tuesday,fatal,5,bus,0,1,stormy,urban road,wet,dusk,police checkpost,37,24,female,,yes,15
2018,december,wednesday,serious,1,car,3,0,clear,village road,dry,daylight,signals,73,67,female,expired,yes,16
2020,july,monday,serious,3,bus,10,1,stormy,urban road,dry,dusk,signals,100,56,female,,yes,13
2023,april,sunday,fatal,1,bus,3,1,clear,national highway,under construction,dawn,,32,62,male,expired,yes,18
2020,january,saturday,minor,5,pedestrian,5,4,hazy,state highway,under construction,dark,police checkpost,38,70,male,,no,3
2022,january,wednesday,minor,1,truck,10,5,hazy,village road,dry,dusk,,104,35,male,expired,no,22
2019,april,sunday,serious,4,bus,6,2,clear,state highway,wet,dark,police checkpost,96,36,male,,no,10
2019,november,friday,serious,5,auto-rickshaw,6,1,stormy,national highway,under construction,daylight,signs,91,54,female,valid,yes,0
2020,december,tuesday,serious,3,car,3,3,rainy,state highway,under construction,daylight,signs,63,27,male,valid,yes,14
2019,june,wednesday,minor,3,bus,2,5,rainy,state highway,dry,dusk,signals,118,21,female,valid,yes,15
2019,october,thursday,minor,3,car,3,5,stormy,urban road,under construction,daylight,police checkpost,55,24,female,valid,yes,20
2020,september,wednesday,fatal,3,bus,0,5,rainy,urban road,damaged,dark,police checkpost,90,37,female,expired,no,0
2020,january,thursday,serious,3,auto-rickshaw,5,1,foggy,urban road,wet,dawn,signals,75,52,male,,yes,21
2018,january,monday,fatal,3,two-wheeler,5,3,clear,village road,dry,daylight,,95,24,male,valid,yes,19
2022,december,monday,minor,2,truck,10,4,hazy,village road,wet,dusk,police checkpost,117,51,female,,yes,12
2019,december,wednesday,serious,4,auto-rickshaw,1,0,stormy,national highway,wet,dark,police checkpost,77,37,male,,no,1
2021,october,saturday,fatal,3,pedestrian,8,0,stormy,national highway,dry,dawn,signs,75,49,female,,yes,3
2019,april,saturday,minor,4,cycle,8,1,stormy,urban road,damaged,dusk,police checkpost,95,26,female,valid,no,0
2019,september,saturday,serious,4,auto-rickshaw,4,1,hazy,urban road,under construction,dark,,57,52,male,expired,no,10
2020,july,wednesday,serious,1,cycle,0,0,clear,urban road,wet,dawn,signals,87,45,male,,no,16
2022,february,wednesday,minor,1,cycle,0,5,rainy,national highway,under construction,dusk,,72,38,female,expired,yes,0
2021,february,wednesday,fatal,5,truck,7,2,hazy,village road,wet,dark,signs,70,63,female,valid,no,4
2019,november,thursday,minor,2,cycle,4,4,foggy,urban road,damaged,dusk,,39,44,male,,yes,10
2022,july,monday,fatal,2,truck,8,2,hazy,village road,dry,dusk,signals,98,54,female,expired,yes,13
2020,october,thursday,minor,1,truck,2,5,hazy,village road,under construction,daylight,signs,119,64,female,,no,3
2019,november,thursday,serious,3,auto-rickshaw,4,5,foggy,village road,damaged,daylight,signals,68,64,male,valid,yes,8
2023,august,thursday,fatal,2,two-wheeler,8,1,foggy,village road,damaged,daylight,,112,59,male,expired,yes,8
2020,november,wednesday,minor,2,car,2,5,clear,urban road,under construction,dark,police checkpost,77,21,female,,no,5
2020,april,sunday,serious,3,cycle,6,5,rainy,urban road,dry,dusk,signals,36,56,female,,yes,13
2019,may,monday,minor,5,pedestrian,2,5,hazy,national highway,under construction,dark,signals,80,32,female,,yes,22
2019,july,thursday,minor,3,two-wheeler,5,4,rainy,village road,damaged,dusk,police checkpost,80,58,male,,no,10
2019,march,saturday,minor,1,cycle,2,0,hazy,village road,dry,dawn,signals,53,24,male,valid,no,15
2020,october,tuesday,minor,3,auto-rickshaw,4,1,foggy,national highway,under construction,dark,,31,18,female,valid,no,21
2021,april,thursday,fatal,2,car,3,0,rainy,urban road,dry,daylight,signals,74,35,female,expired,no,5
2021,july,sunday,minor,1,two-wheeler,8,5,clear,village road,wet,dawn,,107,23,male,valid,no,9
2018,january,thursday,fatal,3,auto-rickshaw,5,3,clear,national highway,under construction,dusk,police checkpost,95,21,female,expired,yes,21
2019,december,wednesday,fatal,1,truck,3,1,stormy,village road,damaged,dusk,,81,58,male,valid,yes,13
2019,november,sunday,serious,1,car,10,3,foggy,state highway,dry,dusk,signals,56,64,female,,yes,19
2020,february,saturday,fatal,2,two-wheeler,7,4,rainy,village road,dry,daylight,signals,62,54,male,valid,no,13
2022,july,thursday,fatal,1,cycle,5,1,rainy,village road,dry,dusk,signals,43,70,female,expired,yes,7
2022,september,wednesday,minor,1,truck,0,2,stormy,urban road,damaged,daylight,police checkpost,117,57,male,expired,yes,12
2022,march,tuesday,minor,4,pedestrian,2,0,stormy,urban road,dry,dusk,,45,66,male,expired,yes,23
2021,february,sunday,fatal,2,cycle,3,3,rainy,national highway,wet,dark,signs,119,69,female,expired,no,9
2023,september,friday,fatal,5,truck,1,0,hazy,state highway,wet,daylight,police checkpost,34,38,female,valid,yes,20
2018,june,saturday,fatal,2,cycle,8,5,hazy,state highway,wet,dark,police checkpost,85,41,male,valid,no,21
2022,june,sunday,fatal,2,two-wheeler,3,5,hazy,state highway,wet,dawn,signals,111,65,male,valid,yes,8
2020,march,sunday,serious,4,truck,5,2,hazy,national highway,wet,daylight,signals,88,21,male,expired,no,6
2023,december,monday,fatal,3,pedestrian,7,5,foggy,urban road,under construction,dawn,police checkpost,89,64,male,valid,no,10
2018,may,monday,fatal,1,two-wheeler,5,2,clear,national highway,under construction,dusk,police checkpost,37,31,male,valid,yes,9
2021,april,friday,fatal,5,truck,1,3,rainy,state highway,wet,dusk,police checkpost,84,51,male,,yes,12
2018,september,thursday,minor,1,two-wheeler,2,2,rainy,state highway,under construction,dusk,signals,46,60,male,valid,yes,0
2019,april,wednesday,minor,4,bus,1,5,rainy,state highway,damaged,dusk,signs,92,63,female,valid,no,19
2022,august,thursday,minor,5,cycle,1,5,foggy,national highway,dry,dusk,signals,48,66,male,,no,17
2019,november,friday,minor,4,car,7,4,foggy,village road,wet,dawn,police checkpost,90,37,male,,no,13
2020,november,monday,fatal,2,pedestrian,4,3,hazy,urban road,dry,daylight,signs,94,39,male,,no,10
2019,may,tuesday,serious,4,bus,6,5,foggy,national highway,damaged,daylight,police checkpost,42,29,male,,yes,5
2021,september,friday,fatal,5,two-wheeler,9,5,stormy,national highway,wet,daylight,police checkpost,41,68,male,valid,yes,16
2019,june,saturday,fatal,4,pedestrian,5,5,hazy,village road,dry,dusk,signs,72,47,female,valid,no,10
2018,february,wednesday,minor,3,pedestrian,1,1,stormy,national highway,wet,dawn,signals,109,58,male,expired,yes,21
2020,september,friday,fatal,1,two-wheeler,4,0,clear,national highway,dry,dawn,signs,44,43,female,valid,yes,12
2023,september,friday,minor,4,pedestrian,5,2,foggy,village road,wet,dawn,police checkpost,30,38,male,expired,no,2
2022,december,saturday,fatal,4,pedestrian,7,5,clear,village road,damaged,dark,police checkpost,106,21,male,,no,11
2023,july,tuesday,fatal,4,cycle,4,1,foggy,state highway,wet,daylight,signs,100,33,male,expired,yes,9
2020,october,wednesday,fatal,2,truck,8,5,foggy,state highway,dry,daylight,signals,32,26,male,valid,no,11
2022,october,sunday,minor,3,cycle,2,2,foggy,urban road,under construction,dark,signals,69,34,female,valid,yes,10
2018,june,friday,serious,4,two-wheeler,8,4,stormy,village road,under construction,dark,,39,45,male,,no,0
2018,october,monday,fatal,1,two-wheeler,1,3,rainy,state highway,damaged,dusk,police checkpost,84,70,male,valid,yes,10
2023,march,saturday,minor,5,car,7,4,rainy,state highway,under construction,dark,signs,57,55,male,,no,2
2023,december,monday,minor,4,cycle,9,5,foggy,state highway,wet,dark,signals,86,66,female,valid,yes,8
2021,september,wednesday,fatal,3,cycle,3,1,foggy,urban road,damaged,dawn,,72,51,female,,yes,21
2021,december,friday,fatal,5,truck,6,1,stormy,state highway,wet,dark,police checkpost,45,25,female,,no,7
2020,january,monday,fatal,4,cycle,5,4,foggy,state highway,damaged,daylight,,70,66,male,valid,yes,10
2020,march,wednesday,fatal,1,auto-rickshaw,8,4,hazy,village road,damaged,dark,police checkpost,55,58,male,valid,no,17
2019,november,saturday,serious,2,auto-rickshaw,7,5,clear,state highway,wet,dawn,signs,47,51,male,valid,yes,23
2019,june,monday,serious,4,two-wheeler,8,0,rainy,state highway,damaged,daylight,police checkpost,76,65,female,,yes,2
2019,september,sunday,fatal,3,car,10,2,stormy,state highway,under construction,daylight,signals,115,42,male,expired,yes,18
2020,december,tuesday,fatal,4,cycle,3,5,foggy,state highway,wet,dark,,34,24,female,expired,no,12
2022,june,wednesday,fatal,5,two-wheeler,3,1,clear,village road,damaged,dark,signals,92,18,female,expired,yes,15
2023,july,saturday,minor,4,car,8,0,rainy,urban road,dry,dawn,police checkpost,78,42,male,valid,yes,2
2020,april,saturday,fatal,3,two-wheeler,6,2,hazy,village road,under construction,daylight,,82,27,female,,no,0
2018,april,monday,minor,1,auto-rickshaw,8,1,hazy,village road,under construction,dawn,,97,45,female,expired,yes,1
2021,october,saturday,minor,4,truck,2,3,rainy,urban road,wet,dawn,signals,60,46,male,expired,no,6
2023,april,sunday,serious,3,car,9,4,hazy,state highway,under construction,dawn,signals,118,27,female,valid,yes,23
2022,april,wednesday,fatal,1,auto-rickshaw,2,0,clear,state highway,damaged,dawn,signals,54,19,female,expired,no,12
2018,july,saturday,minor,3,car,10,4,stormy,national highway,damaged,dawn,signals,42,54,female,expired,no,8
2022,september,tuesday,fatal,2,truck,1,0,clear,national highway,under construction,dusk,police checkpost,109,65,male,valid,yes,22
2018,june,tuesday,fatal,5,cycle,3,2,rainy,urban road,damaged,dawn,police checkpost,32,46,female,valid,yes,11
2021,april,thursday,serious,4,pedestrian,1,5,foggy,state highway,dry,daylight,police checkpost,77,52,male,,no,5
2023,december,monday,serious,1,bus,2,1,clear,state highway,under construction,dark,,80,39,male,,yes,22
2020,august,thursday,minor,5,truck,4,4,rainy,urban road,under construction,dawn,,116,67,male,,yes,0
2019,may,friday,minor,5,truck,4,4,rainy,urban road,under construction,dusk,,35,58,female,valid,yes,7
2019,november,wednesday,serious,5,cycle,6,0,foggy,state highway,under construction,dusk,signs,97,45,male,valid,yes,9
2019,november,thursday,minor,1,auto-rickshaw,8,5,hazy,village road,dry,dark,police checkpost,100,69,female,expired,yes,10
2018,july,tuesday,minor,5,car,1,1,stormy,village road,damaged,dawn,police checkpost,49,35,female,,no,13
2022,july,sunday,minor,3,auto-rickshaw,1,0,hazy,urban road,wet,daylight,,46,62,female,valid,no,2
2018,december,sunday,minor,5,auto-rickshaw,5,0,hazy,urban road,dry,dark,,106,24,male,expired,yes,19
2021,march,saturday,fatal,1,pedestrian,1,0,foggy,village road,damaged,dusk,signals,41,52,male,,no,10
2023,november,monday,fatal,3,cycle,3,2,stormy,national highway,dry,dark,signs,104,45,male,valid,no,14
2020,march,sunday,minor,5,two-wheeler,4,2,clear,village road,dry,dusk,police checkpost,50,45,female,valid,yes,6
2022,april,friday,serious,4,car,7,5,foggy,state highway,under construction,dark,,37,38,male,valid,yes,22
2018,may,saturday,fatal,1,auto-rickshaw,7,4,clear,urban road,under construction,daylight,police checkpost,88,40,female,expired,no,2
2019,october,tuesday,minor,4,car,3,3,clear,state highway,damaged,daylight,,90,62,male,valid,yes,19
2020,october,saturday,fatal,1,cycle,2,5,stormy,village road,wet,daylight,signals,108,40,male,,no,0
2023,january,sunday,minor,1,cycle,9,2,hazy,national highway,wet,dusk,signals,79,63,male,expired,yes,9
2022,may,thursday,minor,5,two-wheeler,7,0,clear,village road,damaged,dark,signs,64,22,male,valid,yes,4
2021,november,thursday,minor,5,auto-rickshaw,3,2,clear,urban road,damaged,daylight,police checkpost,96,57,female,valid,yes,0
2023,july,friday,minor,5,two-wheeler,3,1,rainy,village road,wet,dawn,signs,45,29,male,expired,no,17
2021,march,sunday,serious,2,cycle,6,4,rainy,national highway,under construction,daylight,signals,52,44,female,valid,yes,19
2022,october,sunday,fatal,2,car,10,4,stormy,urban road,damaged,daylight,police checkpost,107,46,female,expired,no,3
2018,october,saturday,fatal,5,truck,10,5,rainy,urban road,wet,dark,police checkpost,62,25,male,valid,yes,14
2021,october,tuesday,serious,1,auto-rickshaw,5,4,foggy,village road,damaged,dark,,33,66,male,valid,no,2
2023,september,thursday,fatal,1,truck,8,0,stormy,national highway,under construction,dawn,police checkpost,96,40,female,valid,no,16
2023,march,tuesday,fatal,2,bus,4,3,stormy,state highway,under construction,daylight,signs,30,22,male,expired,yes,11
2021,november,monday,serious,2,pedestrian,9,2,hazy,national highway,wet,dark,signs,63,57,female,valid,yes,5
2018,november,tuesday,serious,3,truck,5,3,clear,village road,dry,dark,signs,109,52,female,,no,7
2019,november,friday,minor,3,cycle,5,0,hazy,state highway,damaged,dawn,signals,47,55,male,expired,no,15
2021,april,friday,serious,2,two-wheeler,2,2,clear,urban road,dry,dark,,36,26,male,expired,no,4
2019,september,thursday,minor,5,pedestrian,8,4,clear,village road,wet,dark,signs,117,37,male,,yes,16
2019,september,sunday,serious,2,pedestrian,3,4,hazy,village road,under construction,dawn,police checkpost,86,48,male,valid,no,10
2020,december,sunday,serious,3,bus,0,5,hazy,national highway,under construction,dark,,51,34,male,expired,yes,22
2021,august,sunday,minor,1,cycle,3,0,rainy,state highway,damaged,dusk,signals,86,70,male,expired,no,21
2021,june,wednesday,fatal,4,two-wheeler,2,2,clear,urban road,damaged,dawn,,105,64,male,valid,yes,8
2020,september,friday,minor,4,auto-rickshaw,6,1,clear,village road,wet,daylight,signals,56,43,male,expired,yes,6
2022,january,wednesday,minor,1,truck,8,5,foggy,village road,wet,dusk,signals,95,41,female,,no,1
2021,october,saturday,fatal,1,truck,2,5,hazy,urban road,damaged,dusk,signs,37,42,female,,yes,6
2020,march,friday,minor,5,cycle,0,2,foggy,village road,damaged,dusk,signals,108,33,male,expired,yes,12
2018,april,thursday,minor,5,auto-rickshaw,6,5,clear,state highway,wet,dark,police checkpost,55,47,female,valid,yes,20
2023,october,saturday,minor,3,car,7,1,foggy,state highway,wet,dusk,,117,28,male,,no,17
2018,november,sunday,minor,3,truck,7,0,rainy,state highway,wet,dusk,signals,109,30,male,,no,7
2021,may,wednesday,minor,4,bus,4,1,clear,national highway,damaged,dawn,signals,40,70,female,expired,no,21
2022,october,tuesday,fatal,5,truck,6,0,rainy,state highway,under construction,daylight,signals,94,44,female,,yes,20
2020,november,wednesday,minor,1,two-wheeler,7,3,stormy,state highway,under construction,dusk,police checkpost,55,36,female,valid,no,17
2023,september,thursday,serious,1,auto-rickshaw,6,0,rainy,state highway,damaged,daylight,signals,52,33,male,expired,yes,5
2023,december,monday,fatal,1,bus,3,5,rainy,state highway,damaged,dusk,signals,87,28,female,expired,no,1
2019,september,thursday,fatal,3,bus,4,5,stormy,village road,under construction,dusk,signals,51,54,female,,yes,22
2020,june,wednesday,minor,5,cycle,10,2,stormy,urban road,dry,daylight,police checkpost,54,58,female,,no,17
2019,september,wednesday,serious,2,two-wheeler,1,0,clear,urban road,wet,daylight,,87,49,male,valid,yes,1
2022,september,saturday,serious,2,truck,3,0,foggy,village road,damaged,dark,police checkpost,71,28,female,,no,21
2023,september,wednesday,minor,5,bus,4,3,stormy,state highway,dry,dark,signals,62,55,female,valid,no,0
2019,june,sunday,serious,5,car,4,5,rainy,national highway,damaged,dark,signals,118,34,female,,yes,17
2021,april,friday,minor,4,pedestrian,10,0,rainy,national highway,damaged,dusk,signs,79,39,female,expired,no,15
2018,february,saturday,minor,4,bus,10,3,clear,urban road,under construction,dawn,police checkpost,59,52,female,,yes,20
